mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__metric,param_clf__n_neighbors,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5516861915588379,0.03016329055223902,1.9310824394226074,0.03464165550036599,euclidean,3,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.5592073597619673,0.5177197534382171,0.5564084234490609,0.5767723884793062,0.5263818766840191,0.5472979603625141,0.021935948239459862,8
0.5618530750274658,0.038411389607828625,1.925264263153076,0.08789202346810383,euclidean,3,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.5768342511991473,0.5554359643400739,0.5794431524732134,0.6088430161016986,0.5626647452423023,0.5766442258712872,0.018383951848733388,7
0.48172636032104493,0.09235702091211831,2.01627631187439,0.11152876403095784,euclidean,5,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.7105917667238422,0.4851689567838496,0.5122517234318477,0.705890653552807,0.6930127244525068,0.6213831649889706,0.10069207127582781,6
0.5569483757019043,0.025806158893934197,1.8590669631958008,0.03490211132779373,euclidean,5,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.7159925951491952,0.547413037123648,0.5677443996231268,0.71305933262455,0.7100389863547758,0.6508496701750591,0.07644951402933853,5
0.5382685661315918,0.006988199517732065,1.9452345371246338,0.049625608551809815,euclidean,7,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.7337225189417463,0.6639982725484956,0.6858742310050838,0.7217065803400657,0.705143180772362,0.7020889567215507,0.02493463154153653,4
0.43442621231079104,0.1522567849875039,1.7376672267913817,0.39229638672127615,euclidean,7,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.7352610670348307,0.675934736279564,0.6980353600943066,0.7311058209184458,0.7225950533813774,0.7125864075417049,0.022415886485331275,3
0.34548115730285645,0.09498955361690357,1.5937714576721191,0.21641376280895944,euclidean,9,uniform,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'uniform'}",0.7351862145636465,0.7016661248835706,0.7144101046392595,0.7233825187251974,0.7215795357059297,0.7192448997035207,0.011037069388074626,2
0.34762911796569823,0.09045444902790369,1.4607010364532471,0.20126318610345081,euclidean,9,distance,"{'clf__metric': 'euclidean', 'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.7376796431914543,0.7102468068760204,0.7263216993937844,0.7340363049024466,0.7339430894308943,0.7284455087589199,0.00982296238334999,1
0.33101606369018555,0.030905884571031588,0.6877514362335205,0.0480351426423738,manhattan,3,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'uniform'}",0.3662770236299648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3653374931404536,0.00047306100632636265,16
0.3234908103942871,0.02926837138451443,0.6234443664550782,0.047393396548654015,manhattan,3,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 3, 'clf__weights': 'distance'}",0.36807737299465243,0.365138592750533,0.36446104589114203,0.36446104589114203,0.3671619220923094,0.3658599959239558,0.0014863591590688193,15
0.2800284385681152,0.0198599824636485,0.6963098526000977,0.03866857655162452,manhattan,5,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'uniform'}",0.36807737299465243,0.365138592750533,0.365138592750533,0.39053172664701874,0.373263850714982,0.37243002717154383,0.009525150033646856,13
0.27754783630371094,0.017692882378147798,0.5871301174163819,0.03704782649654055,manhattan,5,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 5, 'clf__weights': 'distance'}",0.3698622718069638,0.365138592750533,0.36446104589114203,0.38972796691853995,0.37539731664882225,0.3729174388032003,0.009274682981266054,11
0.2887407779693604,0.011604278929526689,0.6555221080780029,0.010491411138204702,manhattan,7,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'uniform'}",0.3792763207828811,0.37967534429820715,0.365138592750533,0.37091627173848246,0.36499466382070433,0.37200023867816157,0.006468135207606144,14
0.2724116802215576,0.02372069031889705,0.6174832820892334,0.0702960033101848,manhattan,7,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'distance'}",0.3809177756582035,0.37832038046630323,0.36446104589114203,0.3702139243239184,0.36897470333568194,0.3725775659350498,0.006115297787769867,12
0.3039226531982422,0.07396518635428749,0.7136229038238525,0.13477607767330194,manhattan,9,uniform,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'uniform'}",0.3876793334688072,0.3669631677577122,0.365138592750533,0.4108110750459505,0.36499466382070433,0.3791173665687415,0.01800211006156891,10
0.2587597370147705,0.008056531975611401,0.5620659828186035,0.0042607377475518985,manhattan,9,distance,"{'clf__metric': 'manhattan', 'clf__n_neighbors': 9, 'clf__weights': 'distance'}",0.3905345869101149,0.3669631677577122,0.36446104589114203,0.40993141867378224,0.36897470333568194,0.38017298451368664,0.017548179297175528,9
