mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8357226371765136,0.2072641649347176,0.06606044769287109,0.020050609230171823,0.01,300,l2,lbfgs,"{'clf__C': 0.01, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
0.8728967666625976,0.102602253983818,0.06637825965881347,0.004172581404853821,0.01,500,l2,lbfgs,"{'clf__C': 0.01, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
1.0134748458862304,0.05981797281115974,0.06469082832336426,0.002525479992553902,0.01,1000,l2,lbfgs,"{'clf__C': 0.01, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
1.0566436767578125,0.10091317019883037,0.05256361961364746,0.0055281236162973936,0.1,300,l2,lbfgs,"{'clf__C': 0.1, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4915369161225515,0.4814198255414692,0.4955906911052649,0.49329269880961685,0.49545639364464933,0.4914593050447104,0.005238388548584512,7
1.0161777496337892,0.05897277876591152,0.05799703598022461,0.005887766127468753,0.1,500,l2,lbfgs,"{'clf__C': 0.1, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4915369161225515,0.4814198255414692,0.4955906911052649,0.49329269880961685,0.49545639364464933,0.4914593050447104,0.005238388548584512,7
0.9603513240814209,0.18936303184174283,0.04858431816101074,0.004032335175464894,0.1,1000,l2,lbfgs,"{'clf__C': 0.1, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.4915369161225515,0.4814198255414692,0.4955906911052649,0.49329269880961685,0.49545639364464933,0.4914593050447104,0.005238388548584512,7
1.2038731098175048,0.16140014842108585,0.07101426124572754,0.007161410612135057,1.0,300,l2,lbfgs,"{'clf__C': 1.0, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7640343505974462,0.7855450308679337,0.7885465162155765,0.7933615428616887,0.7828097242839411,0.7828594329653172,0.010042269279157122,4
1.297942304611206,0.15574859870848806,0.06024537086486816,0.008048247601683274,1.0,500,l2,lbfgs,"{'clf__C': 1.0, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7640343505974462,0.7855450308679337,0.7885465162155765,0.7933615428616887,0.7828097242839411,0.7828594329653172,0.010042269279157122,4
1.2625051498413087,0.05952270860006863,0.05411834716796875,0.005162495517844591,1.0,1000,l2,lbfgs,"{'clf__C': 1.0, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7640343505974462,0.7855450308679337,0.7885465162155765,0.7933615428616887,0.7828097242839411,0.7828594329653172,0.010042269279157122,4
2.1410626411437987,0.2601496510199002,0.05574965476989746,0.0035096589448949944,10.0,300,l2,lbfgs,"{'clf__C': 10.0, 'clf__max_iter': 300, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7826860522460956,0.7903654477770546,0.7855837505263135,0.7936772193153991,0.8002962103107865,0.7905217360351299,0.006185523251013766,1
2.0881844997406005,0.24117687169504815,0.04788627624511719,0.008216346082357724,10.0,500,l2,lbfgs,"{'clf__C': 10.0, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7826860522460956,0.7903654477770546,0.7855837505263135,0.7936772193153991,0.8002962103107865,0.7905217360351299,0.006185523251013766,1
1.5991400718688964,0.17925578524184202,0.03761000633239746,0.005935496674280351,10.0,1000,l2,lbfgs,"{'clf__C': 10.0, 'clf__max_iter': 1000, 'clf__penalty': 'l2', 'clf__solver': 'lbfgs'}",0.7826860522460956,0.7903654477770546,0.7855837505263135,0.7936772193153991,0.8002962103107865,0.7905217360351299,0.006185523251013766,1
