mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.200059270858766,0.11500593219208179,0.5185369491577149,0.007330496482447384,0.1,scale,linear,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.45901697619856385,0.4290018319177605,0.45014288102269384,0.466904404712132,0.4424019607843137,0.4494936109270927,0.013148812012428759,7
18.263430404663087,0.1820643074325244,0.5932552814483643,0.003588208670620566,0.1,scale,rbf,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4026217401338565,0.3948070726266215,0.4231054525998346,0.41314906497102233,0.4049236298292902,0.4077213920321251,0.009661702972220632,9
16.205894041061402,0.09640050442164937,0.5164268493652344,0.005579950090677668,0.1,auto,linear,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.45901697619856385,0.4290018319177605,0.45014288102269384,0.466904404712132,0.4424019607843137,0.4494936109270927,0.013148812012428759,7
14.641997718811036,0.053763198080504185,0.5080351829528809,0.004013035531308848,0.1,auto,rbf,"{'clf__C': 0.1, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
16.152285242080687,0.15857158363466287,0.48943367004394533,0.003977020281021936,1.0,scale,linear,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.7849347286084245,0.7896988004553016,0.7900334959158488,0.7896680264711206,0.7963961225162669,0.7901462347933925,0.003651369168008041,1
17.818410301208495,0.37711120876525256,0.5771706581115723,0.0038931007819847023,1.0,scale,rbf,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7583043269924481,0.757254030016676,0.7779614690094232,0.7706213522824621,0.7660881166634164,0.7660458589928851,0.007747854684757655,6
15.549420261383057,0.08937180925996245,0.4866668701171875,0.0036438790763591838,1.0,auto,linear,"{'clf__C': 1.0, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.7849347286084245,0.7896988004553016,0.7900334959158488,0.7896680264711206,0.7963961225162669,0.7901462347933925,0.003651369168008041,1
14.11349368095398,0.11483555836216795,0.5110515117645263,0.005063412052185347,1.0,auto,rbf,"{'clf__C': 1.0, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
15.24003038406372,0.19550933026142558,0.4861037254333496,0.004678705229889133,10.0,scale,linear,"{'clf__C': 10.0, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.780352755301785,0.7783335566265583,0.7694212349704503,0.774365834662261,0.7856628242074928,0.7776272411537095,0.0054858584326419576,4
16.68191442489624,0.11455258504764086,0.5624642372131348,0.006408324891066189,10.0,scale,rbf,"{'clf__C': 10.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7721558279148879,0.7876563753602948,0.7816392299023962,0.794066265599008,0.7867432672695271,0.7844521932092228,0.007308345278383516,3
15.346076822280883,0.10362398468268325,0.5573251724243165,0.150427177467058,10.0,auto,linear,"{'clf__C': 10.0, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.780352755301785,0.7783335566265583,0.7694212349704503,0.774365834662261,0.7856628242074928,0.7776272411537095,0.0054858584326419576,4
13.40840449333191,0.4575240711206974,0.4610289573669434,0.021392614372478056,10.0,auto,rbf,"{'clf__C': 10.0, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.3648,0.365138592750533,0.365138592750533,0.365138592750533,0.36499466382070433,0.3650420884144607,0.00013326301298658745,10
